ID Soal,Kategori,Tipe Soal,Teks Pertanyaan, Opsi A, Opsi B, Opsi C,Opsi D,Kunci Jawaban,Bobot Nilai,Status Validasi,,,,,,,,
Q-001,S & H,Pilihan Ganda,Salah satu implementasi nilai BE A PLUS adalah sikap Accountability. Bagaimana bentuk pertanggungjawaban keselamatan yang tepat dari seorang karyawan non-operasional?,Menyerahkan urusan keselamatan sepenuhnya kepada Departemen SHE.,Turut memastikan area kerja pribadinya rapi dan bebas dari potensi bahaya korsleting atau tersandung.,Hanya mematuhi rambu K3 saat berada di site pertambangan. ,Menyembunyikan kondisi near miss (hampir celaka) agar divisi kerjanya tidak ditegur.,B,10,✅ Ready,,,,,,,,
Q-002,S & H,Pilihan Ganda,"Jika Anda menjumpai rekan kerja yang mendadak pingsan di lorong kantor atau area site, hal yang TIDAK BOLEH Anda lakukan adalah",Langsung memberikan air minum ke mulut korban agar cepat sadar,Mengamankan area sekitar korban dari benda berbahaya,Memanggil tim medis darurat atau klinik segera,Melakukan pengecekan respons kesadaran secara perlahan,A,10,✅ Ready,,,,,,,,
Q-003,S & H,Pilihan Ganda,Prinsip penggunaan APAR (Alat Pemadam Api Ringan) yang benar harus kita kuasai. Langkah pertama yang harus dilakukan saat mengoperasikan APAR adalah,Menyemprotkan ke arah asapnya,Menekan tuas sekuat tenaga,Menarik pin pengaman,Membawa APAR masuk ke dalam kobaran api,C,10,✅ Ready,,,,,,,,
Q-004,S & H,Pilihan Ganda,"Saat alarm evakuasi darurat berbunyi karena adanya ancaman bahaya (misalnya gempa bumi atau kebakaran), langkah paling aman dan tepat yang harus segera dilakukan oleh seluruh pekerja di area HO maupun site adalah",Menghentikan seluruh pekerjaan dan berjalan tertib menuju Titik Kumpul (Assembly Point).,Berlari panik mencari barang berharga di meja kerja,Tetap duduk dan menyelesaikan pekerjaan di komputer terlebih dahulu,Menunggu instruksi HRD di dalam ruangan sampai alarm berhenti,A,10,✅ Ready,,,,,,,,
Q-005,S & H,Pilihan Ganda,"Dalam hierarki pengendalian bahaya, penggunaan Alat Pelindung Diri (APD) seperti helm, kacamata (safety glasses), atau earplug ditempatkan sebagai",Pengganti utama dari prosedur kerja aman (SOP). ,Metode yang 100% menjamin pekerja kebal dari kecelakaan,Upaya utama untuk menghilangkan sumber bahaya secara permanen dari area kerja,Garis pertahanan terakhir untuk mengurangi dampak cedera akibat bahaya yang dapat terjadi kapan saja,D,10,✅ Ready,,,,,,,,
Q-006,S & H,Pilihan Ganda,Rambu keselamatan berwarna merah yang terpasang di area kerja pada umumnya berfungsi untuk menunjukkan instruksi berupa,Kondisi aman,Informasi fasilitas umum,Larangan atau bahaya.,Jalur evakuasi,C,10,✅ Ready,,,,,,,,
Q-007,S & H,Pilihan Ganda,"""Pastikan Alat dan Peralatan Aman Untuk Digunakan"" merupakan salah satu dari 6 pilar Pedoman Kerja Aman & Selamat. Aplikasi nyata dari pedoman ini adalah",Memakai alat yang sudah ditarik (tag out) selama belum ada alat baru,Mengubah fungsi kursi kerja beroda sebagai tangga pijakan darurat di kantor,Melakukan Pre-Start Check sebelum mengemudikan kendaraan operasional,Mengabaikan alarm error pada mesin karena mesin masih bisa menyala,C,10,✅ Ready,,,,,,,,
Q-008,S & H,Pilihan Ganda,"Anda melihat lantai pantri basah karena tumpahan air minum, namun Anda sedang terburu-buru untuk meeting. Sesuai budaya No Blame Culture dan kepedulian keselamatan, tindakan Anda adalah",Melompati genangan air tersebut,Mengambil kain pel atau memberi tanda bahaya darurat (wet floor sign) lalu melaporkannya ke Office Boy agar dibersihkan dengan tuntas,Mencari tahu siapa yang menumpahkannya untuk diberi sanksi,Membiarkannya karena itu bukan job desc Anda,B,10,✅ Ready,,,,,,,,
Q-009,L,Pilihan Ganda,"Jika Anda menjumpai tumpahan atau genangan kecil oli mesin yang bocor dari mobil operasional di area parkir, tindakan kepedulian lingkungan yang paling benar adalah",Membiarkannya karena cuaca panas akan menguapkannya,"Melokalisasi tumpahan menggunakan pasir atau Spill Kit, lalu membuang majun bekas pakainya ke TPS Limbah B3",Menyiramnya menggunakan selang air agar masuk ke gorong-gorong,Menutupinya dengan koran bekas dan meninggalkannya,B,10,✅ Ready,,,,,,,,
Q-010,L,Pilihan Ganda,"Di area jalan operasional tambang mineral, truk besar yang melintas sering menimbulkan debu. Langkah paling umum yang wajib dilakukan perusahaan untuk menekan partikulat debu agar tidak mencemari udara sekitar adalah",Menutup seluruh jalan hauling menggunakan aspal beton kelas satu,Melakukan penyiraman jalan tambang secara berkala menggunakan truk tangki air (water truck),Melarang truk angkut beroperasi di siang hari,Menyapu seluruh debu di jalan angkut menggunakan tenaga manual,B,10,✅ Ready,,,,,,,,
